messagenumber, difference
168, 662
167, 1026
166, 662
165, 1025
164, 662
163, 1026
162, 661
161, 1026
160, 662
159, 1026
158, 661
157, 1027
156, 661
155, 1026
154, 661
153, 1026
152, 663
151, 1025
150, 662
149, 1025
148, 662
147, 1026
146, 662
145, 1025
144, 662
143, 1026
142, 662
141, 1025
140, 663
139, 1025
138, 661
137, 1027
136, 661
135, 1027
134, 660
133, 1027
132, 661
131, 1026
130, 662
129, 1026
128, 662
127, 1025
126, 662
125, 1026
124, 661
123, 1026
122, 661
121, 1026
120, 663
119, 1025
118, 661
117, 1027
116, 661
115, 1026
114, 661
113, 1026
112, 662
111, 1027
110, 661
109, 1026
108, 661
107, 1026
106, 661
105, 1026
104, 662
103, 1026
102, 662
101, 1026
100, 661
99, 1026
98, 662
97, 1025
96, 663
95, 1025
94, 661
93, 1027
92, 661
91, 1026
90, 661
89, 1026
88, 662
87, 1027
86, 661
85, 1025
84, 662
83, 1026
82, 662
81, 1025
80, 663
79, 1025
78, 661
77, 1027
76, 662
75, 1025
74, 662
73, 1026
72, 661
71, 1027
70, 660
68, 661
67, 1026
66, 662
65, 1026
64, 662
63, 1025
62, 662
61, 1025
60, 662
59, 1027
58, 660
57, 1027
56, 661
55, 1026
54, 662
53, 1026
52, 662
51, 1025
50, 661
49, 1027
48, 661
47, 1026
46, 661
45, 1027
44, 661
43, 1027
42, 661
41, 1025
40, 662
39, 1026
38, 661
37, 1026
36, 662
35, 1027
34, 660
33, 1027
32, 661
31, 1026
30, 662
29, 1025
28, 662
27, 1026
26, 662
25, 1025
24, 663
23, 1025
22, 662
21, 1025
20, 662
19, 1026
18, 662
17, 1025
16, 662
15, 1026
14, 662
13, 1025
12, 663
11, 1025
10, 661
9, 1027
8, 661
7, 1026
6, 662
5, 1025
4, 662
3, 976
2, 662
1, 661
0, 658
